FID,fid,the_geom,id,objectid,cod_unidad,nome,auxiliary_,auxiliar_1
estacoes_tratamento_agua.1,1,MULTIPOINT ((-15.882825949657605 -47.84583109408631)),1,135,ETA.LSL.001,ETA Lago Sul,188622.05151825,8240585.0089986
estacoes_tratamento_agua.2,2,MULTIPOINT ((-15.777483693090133 -47.905839180467076)),2,254,ETA.BSB.001,ETA Brasília,,
estacoes_tratamento_agua.3,3,MULTIPOINT ((-15.791343917315968 -48.11168918427122)),3,261,ETA.RDE.001,ETA Rio Descoberto,,
estacoes_tratamento_agua.4,4,MULTIPOINT ((-15.77731919592529 -47.782150092160826)),4,267,ETA.PRN.001,ETA Paranoá,,
estacoes_tratamento_agua.5,5,MULTIPOINT ((-16.04191270253408 -48.25700539011164)),5,277,ETA.ENG.001,ETA Engenho das Lages,151439.69114331,8224562.51825758
estacoes_tratamento_agua.6,6,MULTIPOINT ((-15.659807469202399 -48.19005862414927)),6,379,ETA.BRZ.001,ETA Brazlândia,,
estacoes_tratamento_agua.7,7,MULTIPOINT ((-15.619825504477873 -47.71178281869217)),7,418,ETA.PLT.001,ETA Planaltina,208844.39441211,8269545.53779825
estacoes_tratamento_agua.8,8,MULTIPOINT ((-15.609060749987968 -47.63867729279912)),8,434,ETA.PIP.001,ETA Pipiripau,217949.1372695,8271956.99349841
estacoes_tratamento_agua.9,9,MULTIPOINT ((-15.679019495587223 -47.654616252896226)),9,436,ETA.VAM.001,ETA Vale do Amanhecer,,
estacoes_tratamento_agua.10,10,MULTIPOINT ((-15.645712583621153 -47.76920164081927)),10,557,UTS.SB1.001,ETA Sobradinho,199523.05749635,8269074.17780077
estacoes_tratamento_agua.11,11,MULTIPOINT ((-15.739266160737259 -47.83249705451443)),11,548,ETA.LNT.001,ETA Lago Norte,,
estacoes_tratamento_agua.12,12,MULTIPOINT ((-16.008129518158768 -48.060592413355565)),12,569,ETA.GAM.001,ETA Gama,167097.35543754,8227662.85209477
